site_date_key,site_number,sample_date,sample_trip,water_depth,temperature,salinity,lat,lon,notes,extra bags,drop_processing.sample_key,drop_processing.date,drop_processing.bag_photo,drop_processing.sample_type,drop_processing.sample_trip,drop_processing.site_label,drop_processing.bag_number,drop_processing.site_date_key,drop_processing.species_key,drop_processing.bag_code,drop_processing.species_code,drop_processing.count,drop_processing.tin_key,drop_processing.tin_preweight,drop_processing.length,drop_processing.gut_contents,drop_processing.comments,grinding_inventory.tissue_type,grinding_inventory.date,grinding_inventory.vial_code,grinding_inventory.box_code,grinding_inventory.box_position,grinding_inventory.notes,grinding_inventory.decarbonated,grinding_inventory.duplicate,grinding_inventory.initials,tin_weights.tin_weight,composite_vials.composite_vial,composite_vials.box_position,composite_vials.box_code,composite_vials.donor_vial_code,final_vial,wrapping_inventory.vial_code,wrapping_inventory.date,wrapping_inventory.box_code,wrapping_inventory.box_position,wrapping_inventory.tray_code,wrapping_inventory.weight,wrapping_inventory.tray_position,wrapping_inventory.notes,wrapping_inventory.initials,tray_inventory.Analysis Type,tray_inventory.Status,tray_inventory.Notes,isotope_data.Content.Name,isotope_data.wsu_projid,isotope_data.wsu_id,isotope_data.tray_code,isotope_data.nelson_id,isotope_data.analysis,isotope_data.d15N,isotope_data.ucn,isotope_data.wtn,isotope_data.ucn_perc,isotope_data.d13C,isotope_data.ucc,isotope_data.wtc,isotope_data.ucc_perc,isotope_data.amount,isotope_data.analyst_comments,isotope_data.area_all_n,isotope_data.area_all_c,isotope_data.mgN,isotope_data.ucn_mg,isotope_data.mgC,isotope_data.ucc_mg,isotope_data.cn_ratio,isotope_data.cn_ratio_estimate,isotope_data.d34S,isotope_data.ucs,isotope_data.wts,isotope_data.ucs_perc,isotope_data.area_all_s,isotope_data.mgS,isotope_data.ucs_mg,isotope_data.Uc S_Percents_balance,isotope_data.Uc N_Percents_balance,isotope_data.Uc C_Percents_balance
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",979e98ce,1/5/23 00:00,,DS,2209,51,186,68bb7209,90765501,2209-DS-51,ANCMIT,1,186ANCMIT,1.02,NA,NA,anchovy,Animal,5/14/24 00:00,1b7993fdc,0768fd2ba_PFFW-FA22,H4,ANCMIT09-22-DS-186,FALSE,,,1.31,,,,,1b7993fdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653960b,30,9/13/23 05:47,2308,12,30.1,29.6,29.160722,-90.245689,,"01dec90bc",CFC7B922,7/4/24 16:55,,DS,2308,30,,5653960b,83C94E95,,MINLON ,10,13119756f,1.01,,,,Animal,7/31/24 00:00,d0c2073e,16412cf44_PFFW-SP23,E1,,FALSE,FALSE,JCM,2.192,,,,,d0c2073e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e4ec044,4,9/28/22 05:43,2209,62,23.3,18.6,29.10649,-90.2055,,"",06a9a6ce,2/13/23 00:00,Fourchon Mangrove Project/Sample Photos/06a9a6ce.bag_photo.222636.jpg,DS,2209,4,189,5e4ec044,90765501,2209-DS-4,ANCMIT,3,1545a6503,1.03,NA,NA,,Animal,5/14/24 00:00,0ce867e47,0c01f46a8_PFFW-FA22,A1,,FALSE,,,1.09,,,,,0ce867e47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",40C8257B,7/16/24 14:30,,DS,2308,95,,7d23bc66,569400cb,,PENSETS,12,05781b4e0,1.053,,,,Animal,7/23/24 00:00,b8962d89,19121684b_PFFW-SP23,B2,,FALSE,FALSE,L_,1.165,,,,,b8962d89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",08e3fda5,1/5/23 00:00,,DS,2209,51,186,68bb7209,03007a24,2209-DS-51,PALSP,7,186PALSP,1.04,NA,NA,NA,Animal,5/14/24 00:00,0e93ff6ae,0768fd2ba_PFFW-FA22,H5,PALSP09-22-DS-186,FALSE,,,1.16,,,,,0e93ff6ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d86dc835,31,6/7/23 09:02,2305,45,29.8,21.6,29.12869,-90.229702,,"",EE0E0AB6,7/16/24 16:26,,DS,2305,31,,d86dc835,c2d636b2,,FUNGRA,3,0bca5d620,1.035,,,,Animal,7/23/24 00:00,d49c15fe,19121684b_PFFW-SP23,A6,,FALSE,FALSE,JCM,2.105,,,,,d49c15fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4055fb57,60,9/23/22 11:30,2209,58,,24,29.1435,-90.1711,,,4e280a70,3/31/23 01:00,Fourchon Mangrove Project/Sample Photos/4e280a70.bag_photo.205906.jpg,DS,2209,60,72,4055fb57,569400cb,2209-DS-60,PENSETS,1,0de6457f7,1,NA,NA,,Animal,5/14/24 00:00,1bffb9049,0c01f46a8_PFFW-FA22,A2,,FALSE,,,1,,,,,1bffb9049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d23bc66,95,9/11/23 07:17,2308,18,31.6,28.6,29.127239,-90.163634,,"",27B20759,7/16/24 14:08,,DS,2308,95,,7d23bc66,569400cb,,PENSETS,8,003e4f58d,1.069,,,,Animal,7/23/24 00:00,a5d95360,19121684b_PFFW-SP23,A3,,FALSE,FALSE,JCM,1.769,,,,,a5d95360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68bb7209,51,9/26/22 06:26,2209,55.5,33.1,23.7,29.13863,-90.1624,,"",ec9ad841,1/5/23 00:00,,DS,2209,51,186,68bb7209,1d3cc7d1,2209-DS-51,CTEBOL,6,186CTEBOL,1.03,NA,NA,,Animal,5/14/24 00:00,09255f71d,0768fd2ba_PFFW-FA22,G10,CTEBOL09-22-DS-186,FALSE,,,1.17,,,,,09255f71d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d86dc835,31,6/7/23 09:02,2305,45,29.8,21.6,29.12869,-90.229702,,"",41564CBD,7/16/24 16:32,,DS,2305,31,,d86dc835,83C94E95,,MINLON ,3,04525bb52,1.031,,,,Animal,5/23/25 17:52,e1fe4ea8,f2ab7b75_PFFW-SP23,D6,,FALSE,FALSE,,1.949,,,,,e1fe4ea8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
